Rank,Name,Age,YTD,Singles,Doubles,Career
57,Valentin Royer,24,803022.0,792575.0,10447.0,1051600.0
58,Giovanni Mpetshi Perricard,22,1271143.0,1183294.0,87849.0,2970018.0
59,Tomas Martin Etcheverry,26,1460283.0,1352402.0,107881.0,5301668.0
60,Aleksandar Kovacevic,27,916583.0,888532.0,28051.0,2269193.0
61,Matteo Arnaldi,24,1233978.0,1198472.0,35506.0,4359291.0
62,Kamil Majchrzak,29,1035022.0,1028358.0,6664.0,3155929.0
63,Terence Atmane,23,782407.0,781868.0,539.0,1407483.0
64,Arthur Cazaux,23,829085.0,798644.0,30441.0,2192586.0
65,Marcos Giron,32,1346209.0,1286363.0,59846.0,6316187.0
66,Damir Dzumhur,33,1105311.0,1050929.0,54382.0,6315964.0
67,Francisco Comesana,25,1080132.0,1034833.0,45299.0,1868706.0
68,Gael Monfils,39,1132623.0,1127483.0,5140.0,24497757.0
69,Adrian Mannarino,37,1157288.0,1131766.0,25522.0,14238654.0
70,Ethan Quinn,21,942022.0,899486.0,42536.0,1299651.0
71,Jacob Fearnley,24,1125036.0,1083543.0,41493.0,1437663.0
72,Hubert Hurkacz,28,1153504.0,1148175.0,5329.0,18461087.0
73,Marin Cilic,37,875928.0,875928.0,0.0,32572614.0
74,Jesper de Jong,25,805620.0,782720.0,22900.0,1715830.0
75,Mariano Navone,24,1024278.0,980327.0,43951.0,2296037.0
76,Mattia Bellucci,24,1027936.0,960121.0,67815.0,1842557.0
77,Botic van de Zandschulp,30,928607.0,877775.0,50832.0,5811163.0
78,Adam Walton,26,990688.0,922589.0,68099.0,1747601.0
79,Cristian Garin,29,546416.0,545939.0,477.0,6644987.0
80,Filip Misolic,24,517200.0,514836.0,2364.0,1105581.0
81,Hamad Medjedovic,22,860346.0,845346.0,15000.0,2258822.0
82,Alejandro Tabilo,28,1000548.0,945627.0,54921.0,4375233.0
83,Jan-Lennard Struff,35,1220713.0,1179841.0,40872.0,12197748.0
84,Aleksandar Vukic,29,1101895.0,1066368.0,35527.0,3443937.0
85,Raphael Collignon,23,619361.0,597961.0,21400.0,830667.0
86,Juan Manuel Cerundolo,24,547616.0,545736.0,1880.0,1626421.0
87,James Duckworth,33,767596.0,723695.0,43901.0,4846831.0
88,Emilio Nava,24,568649.0,552129.0,16520.0,1526895.0
89,Eliot Spizzirri,24,527998.0,513824.0,14174.0,814317.0
90,Roberto Bautista Agut,37,1019026.0,1019026.0,0.0,19920650.0
91,Quentin Halys,29,1204883.0,1101440.0,103443.0,4552568.0
92,Pedro Martinez,28,1305228.0,1110036.0,195192.0,5651523.0
93,Pablo Carreno Busta,34,838542.0,823119.0,15423.0,16944900.0
94,Benjamin Bonzi,29,1181578.0,1094928.0,86650.0,4173564.0
95,Dalibor Svrcina,23,415231.0,408641.0,6590.0,1000636.0
96,Hugo Gaston,25,822955.0,818904.0,4051.0,3635691.0
97,Alexander Shevchenko,25,1019367.0,999897.0,19470.0,2962233.0
98,Laslo Djere,30,641575.0,630259.0,11316.0,6610956.0
99,Shintaro Mochizuki,22,573843.0,568549.0,5294.0,1367060.0
100,Tristan Schoolkate,24,731169.0,690910.0,40259.0,1251912.0
101,Carlos Taberner,28,339000.0,336196.0,2804.0,1484143.0
102,Ignacio Buse,21,373311.0,368731.0,4580.0,464885.0
103,Vit Kopriva,28,687983.0,674433.0,13550.0,1564437.0
104,Yannick Hanfmann,34,575764.0,573434.0,2330.0,3800341.0
105,Roman Andres Burruchaga,23,362876.0,358621.0,4255.0,774651.0
106,Thiago Agustin Tirante,24,443723.0,434611.0,9112.0,1302226.0
107,Luca Nardi,22,805795.0,805795.0,0.0,2084145.0
108,Jordan Thompson,31,1299785.0,1028560.0,271225.0,9339086.0
109,Nikoloz Basilashvili,33,578777.0,578777.0,0.0,9451701.0
110,Yoshihito Nishioka,30,778758.0,778758.0,0.0,7366806.0
111,Tomas Barrios Vera,28,374790.0,364087.0,10703.0,1387102.0
112,Brandon Holt,27,512171.0,494503.0,17668.0,1105186.0
113,Rinky Hijikata,24,1085290.0,773367.0,311923.0,3448029.0
114,Mackenzie McDonald,30,771936.0,710040.0,61896.0,6926652.0
115,Borna Coric,29,480135.0,480135.0,0.0,13445108.0
116,Christopher O'Connell,31,837419.0,824301.0,13118.0,3919553.0
117,Alexander Blockx,20,747361.0,740405.0,6956.0,888213.0
118,Patrick Kypson,26,212185.0,211569.0,616.0,783151.0
119,David Goffin,35,901165.0,860325.0,40840.0,18988566.0
